Name,Regional,geometry
C01116,CENTRO-SUL,POINT Z (-43.94479308472123 -19.91627501344056 0)
C13001,PAMPULHA,POINT Z (-43.95419884161712 -19.8369975717389 0)
C13002,NORTE,POINT Z (-43.95504241556704 -19.83580414889965 0)
C13003,NORTE,POINT Z (-43.95582510973929 -19.83481446777951 0)
C13004,NORTE,POINT Z (-43.9535508680382 -19.83054550283228 0)
C13005,NORTE,POINT Z (-43.9511971 -19.826705 0)
C13006,NORTE,POINT Z (-43.95135678797747 -19.82597786503833 0)
C13007,NORTE,POINT Z (-43.94464582305562 -19.82457839746904 0)
C13008,NORTE,POINT Z (-43.95217306704289 -19.82278405627523 0)
C13009,NORTE,POINT Z (-43.95250675799662 -19.8222437931911 0)
C13010,NORTE,POINT Z (-43.95186525770261 -19.82072176811096 0)
C13011,VENDA NOVA,POINT Z (-43.9493478292147 -19.81765697858297 0)
C13012,NORTE,POINT Z (-43.959614 -19.830022 0)
C13013,VENDA NOVA,POINT Z (-43.94661540982342 -19.81968849381477 0)
C13014,NORTE,POINT Z (-43.94514933929716 -19.82312512221384 0)
C13015,VENDA NOVA,POINT Z (-43.94866801390823 -19.81839707662888 0)
C13016,NORTE,POINT Z (-43.95994466637571 -19.82957165889357 0)
C13017,NORTE,POINT Z (-43.93249734710744 -19.84585852036651 0)
C13018,NORTE,POINT Z (-43.930345003194 -19.84644000586665 0)
C13019,NORTE,POINT Z (-43.92896296254009 -19.84510215957549 0)
C13020,NORTE,POINT Z (-43.92791045721852 -19.84443890121916 0)
C13021,NORTE,POINT Z (-43.92600357452097 -19.84421043264078 0)
C13022,NORTE,POINT Z (-43.92458255109086 -19.84408249648053 0)
C13023,NORTE,POINT Z (-43.92285851687857 -19.8445688979407 0)
C13024,NORTE,POINT Z (-43.92107314330638 -19.84553012260686 0)
C13025,NORTE,POINT Z (-43.91896702389452 -19.84676885839977 0)
C13026,NORTE,POINT Z (-43.91782290914206 -19.84420570864863 0)
C13027,NORTE,POINT Z (-43.91530411640394 -19.84585720583396 0)
C13028,NORTE,POINT Z (-43.91902157185979 -19.8428001078843 0)
C13029,NORTE,POINT Z (-43.91999401380314 -19.84214276344227 0)
C13030,NORTE,POINT Z (-43.9216588561677 -19.84129217512931 0)
C13031,NORTE,POINT Z (-43.92871556346676 -19.8415630831323 0)
C13032,NORTE,POINT Z (-43.93313687026281 -19.84382181023778 0)
C13033,VENDA NOVA,POINT Z (-43.9489175542156 -19.81514641008547 0)
